,Produção Anual,Ano
0,6045100000.0,2009
1,6024100000.0,2010
2,6147700000.0,2011
3,6122900000.0,2012
4,7512000000.0,2013
5,8507500000.0,2014
6,8388900000.0,2015
7,8700300000.0,2016
8,7848200000.0,2017
9,8013200000.0,2018
